reviews,sentiment
"I don't know why but often it just doesn't pop up with username and password to fill in my apps and website passwords. And one thing I would truly like to see in this app is to unlock it with a pattern or pincode. But generally otherwise I like the ease of use and the fact that you can also write notes for the particular websites and apps. And I like Avira, having used their products for many years.",Positive
"This app is ok, but it requires a password prior to opening. That's better than trying to remember so many different passwords, but much less convenient than if it just opened whenever you need it. Also, it does not open for every site and is often unable to follow when a new password is needed. The PC version is a bit better than the android version. But, they both need improvement",Positive
"App started out great. Everything that I needed. But after a while passwords would not update across multiple devices. And then when I open the app absolutely no passwords come up, meaning the entire password databases blank. Inexplicable errors that make the entire system unusable unfortunately. I'll probably give it another week to see if the developers fix these issues then I'll simply move to another system. I would be willing to pay for a quality app",Negative
"Okay, there 2 reasons why there is 3 stars here. The first is an issue for those of us who want to lock down sensitive data more than just a password, facial recognition, pattern, or finger print. There is no support for a Yubico dongles and other such keys. The 2nd, and not as important, is support for more browser integration. Because of a lack of browsers that it works with, I have to use Chrome and others like it other wise I don't have that ability to utilize APM to its fullest.",Positive
"The application is the best one so far but there are some issues. It is not working properly sometimes on some specific applications. And also, it is popping up at some applicatios that shouldn't do. At ""Steam"" application, it is popping up at chatbox that you send messages to someone else. Could you please fix the issue? Thank you :) addition2: open avira password manager text pops up almost in every nickname and password textboxes but also in Steam app. Android 9 Xiaomi user",Positive
Edit: lowering my rating only because the app has doesn't play well with Firefox. I normally struggle to use the Avira button in Firefox often giving up and taking back to the copy/paste feature for entering credentials I strongly recommend this app to everyone. There is not a person reading this comment that wouldn't benefit from using Avira Password Manager. Works virtually almost perfectly with all of my apps and sites.,Positive
This app does not mess about. Very accurate and interface friendly. I am at a point that now I cannot do without this kind of interface integration to save 30 odd passwords I have. Any time I need to change a password or get a new one generated this does it seamlessly. Make this one stay please. All my fingers are thumbs up !!,Positive
"Pretty straight forward to use, but, on some apps the auto fill doesn't work, so you have to manually past in the password, and, there is no way (that I know of without premuim) to find out what accounts have been breached/have a bad password, it will only say that an account is breached and than show a blurred icon of the app",Negative
"great when it works, but finicky and frustrating. edit: its finicky and frustrating because the password manager doesn't recognize a lot of fields where i need to put a password in or suggest a strong password and it wont save said strong password, so i have to go into the app instead of just signing in. the mobile version regularly just signs me out every thirty seconds sometimes.",Positive
"I would look somewhere else to store passwords. * passwords dont update across devices * i cant login in this app on android , it keeps saying there is no mobile data, which is absurd. I am also using wifi , same thing. * On the iPhone version, you can log in, but all passwords are blank * On desktop, it's ok. I think It was good before , somewhere you guys are dropping the ball.this app was actually good, and I recommend this like to everyone.",Positive
"Appalling technical support. I got a new device and logged out of my old one. Tried logging into PWM on new device keep getting the error ""no internet connection"". Tried to log into PWM on my old device, to see if that worked. Nope, get the same error. Go through all the usual troubleshooting steps, uninstall, restart device etc etc. Nothing works. So I opened a ticket. Explained the problem and told them all the steps I'd tried. Only to get a generic response asking me to try the same steps",Negative
"Worked fine for a while but for some reason, whenever I type in my master password, it now doesn't let me log in and shows me an error, saying that there's no internet connection even though the internet works just fine for every other app on my phone.",Negative
Great until I changed smartphone. Everytime I try entering the password it says. NO internet connection. Can't find a way of rectify it. No helping hand in ways of support contact. I'll need to cancel and start all over again with another company.,Positive
Excellent password manager! Had a problem with a button constantly on screen. Turned out to be an Android accessibility setting. All is great now!,Positive
They make you to subscribe premium with passwords locked in it . Unable to contact support team unless you're a premium customer. Please don't go for it :( . Review edited,Positive
"The previous app was functional but after the update, I am unable to login in my account, can someone assist with the Password manager for Android",Neutral
"Does everything it promises, across platforms, and free of charge, excellent, what more would you need?... actually, password sharing would be very useful 😉",Positive
"Hi team, Recently facing issue as not able to login into account. Tried clearing cache,re login into account. It just says preparing password. Please assist",Positive
"This has been my favorite password management tool. However, I was recently forced to relogin and can't get an verification code anymore. I am from Philippines, pls advise.",Positive
The most important thing about an app like these is that is has to work and remember password...after a update it says hey 0 password safed ....what a huge Shi. . Spending now half a day to make everywhere new passwords . Then better write them again on a piece of paper,Positive
It frequently signs out requiring frequent sign in. Being generous with a free services as well as smooth functionality is why I give full 5 ⭐✨⭐,Positive
"From a reputable company, keeps all your passwords accessible everywhere you go across phone to pc. Only wish is that 2fa also saved your codes remotely",Positive
I've been using Avira Password Manager for a few years and I've been quite satisfied with it!,Positive
"Avira is an excellent, easy to use password manager where you can store over 100 passwords for free",Positive
"The app was great before but now I suddenly can't even log in with my master password it keeps saying ""incorrect password"" even tho it is correct",Positive
"App is not working anymore, saying there is no internet connection while every other app has connected fine.",Negative
Full featured and convenient. Works well and does exactly what I need.,Positive
"App was great until a few weeks ago it started CONSTANTLY freezing after logging in. And nothing helps - I tried re-installing it, restarting my phone. It was a little annoying at first, but now it happens half of the times I try to use it. And auto-fill function doesn't work properly - it either doesn't show up at all for some websites or offers to ""save my password"" when I set my alarm clock.",Positive
